Date,RMS P.O,Part Received,Vendor,Promise date,Notes,Vendor Contact,Recieved Date,Carrier,Trackin/Pro#,L,W,H,Weight,Inbound Shipping Charges,Date,Customer,Customer P.O,RMS Invoice #,Ship To,Line #,HS code,Shipped,Invoice Status,L,W,H,Weight,Carrier,Tracking/ Pro#,Crating/ Handling charges,Ship out Charges,Customer contact,Notes
12/6/2023,9509,Qty 34 Needle Valves PN M4TPVIS-4-GE1-R3V and  PN M4TLVIS-4-GE1-R3V,The Blythe Company,12/11/2023,Via prepaid on our account with no freight charges to RMS,,12/19/2023,Fedex,774425816956,36,30,22,225LBS,,11/2/2023,Jord,109849,,Contact ECI. Ship to China,,,12/28/2023,Delivered,36,30,22,225LBS,ECU,246371702,,,,
Discarded,9510,,Hydradyne,,Order not processed,,,,,,,,,,10/25/2023,Jord,109812,,Contact ECI. ,,,,,,,,,,,,,,
12/11/2023,9511,Qty 6 Safety Gate PN A71-24B,Tractel,12/15/2023,6 of 6 rcv'd,johnny.rivas@alimakgroup.com,1/3/2024,UPS,1ZF26B390313448889,27,17,3,32LBS,,12/8/2023,Jord,110040,,Contact ECI. ,,,1/3/2024,Delivered,27,17,3,32LBS,UPS,1Z2Y36Y30395857483,,,,
12/11/2023,9512,"Qty 1 PRESSURE GAUGE, P/N 1002PI-3A-1M-BP30-VITON",Thuemling ,5-7 weeks,,Noah@thuemling.com,1/5/2024,UPS,1ZF26B390334124920,8,8,8,1LB,,12/8/2023,GE,42300134935,,GE Energy Parts. ATLANTA,,,1/8/2024,Delivered,8,8,8,1LB,FEDEX,774703162456,,,,
12/12/2023,9513,"Qty 1 Plug/Stem Assembly, P/N 20A3464X092",Novaspect,1/2/2024,,ckisner@novaspect.com,1/17/2024,UPS,1Z6253760394888112,21,10,7,9 LBS,,12/12/2023,GE,42300135400,,GE Energy Parts. ATLANTA,,,1/19/2024,Delivered,25,6,7,9LBS,FEDEX,774873056137,,,,
Discarded,9514,"Qty 2 TANK MAGNET PN SLX-21-SS (28"")",Motion,4 Weeks,CANCELLED - Supplier cannot offer the item,Gloria.Gonzalez@motion.com,,Contact warehousing@rmsint.net when ready.,,,,,,,25/10/2023,Jord,109812,,Contact ECI. ,,,,,,,,,,,,,,
12/21/2023,9515,QTY 1 Sun Relief Valve RPGC-LCV,Hydradyne,Stock,,Aleksy@cmafh.com,12/22/2023,UPS,1Z6025520360199307,6,6,4,1LB,,12/21/2023,GE,42300137183,,GE Energy Parts. ATLANTA,,,12/26/2023,Delivered,6,6,6,1LB,FEDEX,774604636478,,,,
12/28/2023,9516,Sun Valves,Hydradyne,Stock,`,Aleksy@cmafh.com,1/3/2024,UPS,1Z6025520360204434,10,10,10,14LBS,,8/23/2023,GE,42300116344,,GE Energy Parts. ATLANTA,,,2/19/2024,,26,21,28,524.99LBS,Fedex,6605811833,,,,
1/4/2024,9517,QTY 2 Solenoid Valve MK252C616EEN1T4AXXG1XXAFT,Co - Ax Valve,14-16 weeks,,Charlie.Nagy@coaxvalves.com,4/1/2024,UPS,1ZF26B390331820969/1ZF26B390304038197,16,14,10,26LBS,,12/27/2023,Jord,110112,,Contact ECI. ,,,4/3/2024,,16,14,10,2 @26LBS,UPS,1Z2Y36Y30391443150  1Z2Y36Y30394322749,,$0.00 ,,
1/10/2024,9518,"QTY 1 Bearing Seal - Inboard, P/N 231-31-258",Buffalo,2 Weeks,,NSchultz@buffalopumps.com,1/29/2024,UPS,1Z2Y36Y30399066142,10,10,5,1 LB,,12/8/2023,GE,42300134840,,GE Energy Parts. ATLANTA,,,3/29/2024,,9,7,1,1LB,FEDEX,775743764205,,,,
1/3/2024,9519,Qty 4 Spring PN 1-504-02-820,M&W Control,1/18/2024,,Drew.Keil@mmcontrol.com,1/17/2024,UPS,1Z6412490363576373,9,9,6,1 LB,,11/15/2023,GE,42300130969,,GE Energy Parts. ATLANTA,,,1/19/2024,Delivered,6,6,6,1LB,FEDEX,773473071137,,,,
1/5/2024,9520,Qty 4 Sun Hydraulic Manifold ECJ/S T-11A. Qty 2 Sun Pilot Check Val CKCB-LAV,Hydradyne,Stock,2 pcs for order 2 for rms stock. 2 pcs of PN CKCB-LAV for stock.,Aleksy@cmafh.com,1/9/2024,UPS,1Z6025520360210347,9,8,7,9LBS,,9/15/2023,Jord,109600,,Contact ECI,,,1/10/2024,Delivered,,,,,UPS,1Z2Y36Y30390179699,,,,
1/18/2024,9521,Qty 1 ASCO solenoid valve EV8210G094,Lesman,7 - 8 Weeks,,gina@lesman.com,2/22/2024,UPS,1Z6208880311395809,6,6,4,3LBS,,1/16/2024,GE,42300140520,,GE Energy Parts. ATLANTA,,,2/23/2024,,6,6,6,3LBS,FedEx,775292541030,,,,
1/22/2024,9522,"Qty 2 Ametek Pressure gauge 1931 4-1/2"" (255391L)",Lesman,3 Weeks,,gina@lesman.com,2/2/2024,UPS,1Z6208880311377598,10,8,6,8 LBS,,1/17/2024,GE,42300140815,,GE Energy Parts. ATLANTA,,,2/5/2024,Delivered,8,8,8,7LBS,Fedex,775072509453,,,,
12/7/2023,9523,ORDER PAYED BY CC - Several pipping items for 42300107313,Mc Master,,Mc Master order 4974150 already recedived and shipped in GE 42300107313,,,,,,,,,,7/24/2023,GE,42300107313,,GE Energy Parts. ATLANTA,1,,1/17/2024,Delivered,12,12,16,38,Fedex,774817173371,,,,
12/18/2023,9524,ORDER PAYED BY CC - Several pipping items for 42300107313,Mc Master,,Mc Master order 5420368 already recedived and shipped in GE 42300107313,,,,,,,,,,7/24/2023,GE,42300107313,,GE Energy Parts. ATLANTA,1,,1/17/2024,Delivered,12,12,16,38,Fedex,774817173371,,,,
1/29/2024,9525,Qty 1 Bimetal Thermometer 50-EI-60-R-060-XCS 30-130F/0-55,Hatfield,4-5 Weeks,,mpratl@hatfieldandcompany.com,4/10/2024,CPU,,15,8,8,2LBS,,1/24/2024,GE,42300142324,,GE Energy Parts. ATLANTA,,,4/12/2024,,10,10,6,3LBS,FedEx,775932805310,,,,
1/29/2024,9526,"Qty 2 Bearing Bushing, P/N 204-29-321",Buffalo,2/14/2024,,nschultz@buffalopumps.com,3/4/2024,UPS,1ZF26B390307044960,18,11,2,1LB,,1/24/2024,GE,42300142344,,GE Energy Parts. ATLANTA,,,3/7/2024,,8,8,8,7LBS,FedEx,775419782061,,,,
1/31/2024,9527-1,"Line 1 - Qty 1. Impeller Nut, P/N 301-45-040",Buffalo,2/14/2024,,nschultz@buffalopumps.com,2/7/2024,UPS,1Z2Y36Y30390667107,14,14,5,3LBS,,1/24/2024,GE,42300142324,,GE Energy Parts. ATLANTA,,,4/12/2024,,10,10,6,3LBS,FedEx,775932805310,,,,
1/31/2024,9527-1,"Line 2 - Qty4. Gasket, P/N 231-11-137",Buffalo,2/14/2024,,nschultz@buffalopumps.com,2/7/2024,UPS,1Z2Y36Y30390667107,14,14,5,3LBS,,1/24/2024,GE,42300142031,,GE Energy Parts. ATLANTA,,,2/8/2024,,18,12,1,1LB,FedEx,775120152804,,,,
1/30/2024,9528,"Qty 1 Thrust Bearing PN 00129724, Lock washer 01705625, Beaing Nut 01705581",Motion,2/2/2024,,Gloria.Gonzalez@motion.com,2/2/2024,UPS,1Z6415210306535712,8,8,4,4 LBS,,1/24/2024,GE,42300142344,,GE Energy Parts. ATLANTA,,,3/7/2024,,8,8,8,7LBS,FedEx,775419782061,,,,
1/30/2024,9529,Qty 1 Gasket (Set Screw) PN 102725 - LINE 1,Novaspect,2-3 Weeks ARO,,KMendoza@novaspect.com,3/13/2024,UPS,1ZF26B390327430540,11,8,2,1LB,,1/18/2024,GE,42300140936,,GE Energy Parts. ATLANTA,,,3/13/2024,,9,7,1,1LB,FedEx,775527541218,,,,
1/30/2024,9529,Qty 1 Gasket (Set Screw) PN 102725 - LINE 1,Novaspect,2-3 Weeks ARO,FOR RMS STOCK,,3/13/2024,UPS,1ZF26B390327430540,11,8,2,1LB,,,,,,,,,,,,,,,,,,,,
1/30/2024,9529,"QTY 1. O'Ring, Valve Body PN 10A3482X022 - LINE 2",Novaspect,2-3 Weeks ARO,FOR RMS STOCK,,2/21/2024,UPS,1ZF26B390327430540,11,8,1,1LB,,,,,,,,,,,,,,,,,,,,
1/30/2024,9529,QTY 1. Seal Ring PN 10A3484X012 - LINE 3,Novaspect,2-3 Weeks ARO,FOR RMS STOCK,,2/21/2024,UPS,1ZF26B390327430540,11,8,1,1LB,,,,,,,,,,,,,,,,,,,,
1/31/2024,9530,QTY 18 Manifold Valve PN M4TPVIS-4GE1-SSA,The Blythe Company,2/5/2024,,patti@theblythecompany.com,2/21/2024,UPS,1ZF26B390327430540,11,8,1,1LB,,1/22/2024,Jord,110104,,CONTACT ECI & PVYAS@JORDENERGY.COM.AU,,,2/15/2024,,36,30,22,540,Forwad Air (ECU),Pro# 87769648,,,,
1/31/2024,9530,QTY 23 Manifold Valve PN M4TLVIS-4-GE1-R3V,The Blythe Company,2/5/2024,,patti@theblythecompany.com,,,,,,,,,1/22/2024,Jord,110104,,CONTACT ECI & PVYAS@JORDENERGY.COM.AU,,,2/15/2024,,36,30,22,540,Forwad Air (ECU),Pro# 87769648,,,,
1/31/2024,9530,QTY 7 Manifold Valve PN M6TWVIS-4-R3V,The Blythe Company,2/5/2024,,patti@theblythecompany.com,,,,,,,,,1/22/2024,Jord,110104,,CONTACT ECI & PVYAS@JORDENERGY.COM.AU,,,2/15/2024,,36,30,22,540,Forwad Air (ECU),Pro# 87769648,,,,
1/31/2024,9530,QTY 34 Manifold Valve PN M4TPVIS-4-GE1-R3V,The Blythe Company,2/5/2024,,patti@theblythecompany.com,,,,,,,,,1/22/2024,Jord,110104,,CONTACT ECI & PVYAS@JORDENERGY.COM.AU,,,2/15/2024,,36,30,22,540,Forwad Air (ECU),Pro# 87769648,,,,
2/5/2024,9531,QTY 1 16-flexgraphite,Marco Supply,2 days,,dbautista@johnsonpipe.com,2/8/2024,Contact warehousing@rmsint.net when ready.,,,,,,,2/2/2024,GE,42300144201,,GE Energy Parts. ATLANTA,,,2/8/2024,,21,21,1,5LBS,FedEx,775120168343,,,,
2/8/2024,9532,QTY 1 Oring PN 10A3482X022,Novaspect,2 - 3 Weeks,,TReboletti@novaspect.com,2/21/2024,UPS,1ZF26B390334104139,11,8,1,1LB,,2/7/2024,GE,42300144800,,GE Energy Parts. ATLANTA,,,2/22/2024,,9,7,1,1LB,FedEx,775263674646,,,,
2/8/2024,9533,QTY 2 Hose PN M32P056076602740,GEIB,Confirming,,Zalas@geibind.com,3/4/2024,UPS,1Z6136340360912887,26,27,7,29LBS,$18.41 ,2/5/2024,Jord,110235,,CONTACT RROSHAN@JORDENERGY.COM AND YJZHANG@JORDENERGY.COM.AU,,,3/5/2024,,26,27,7,29LBS,UPS,1Z2Y36Y30398038808,,$0.00 ,,
4/5/2024,9534-2,QTY 1 Differential Pressure Reducing Regulator PN EB4-5S27-14X57570B,Swanson Flo,"5/27/2024 (shipping date from manufacturer to vendor in Bolingbrook, IL)",,Hal.Burton@swansonflo.com,5/21/2024,CPU,,10,10,20,26LBS,,2/5/2024,Jord,110045,,"CONTACT SRAJAN@JORDENERGY.COM.AU
YJZHANG@JORDENERGY.COM.AU",,,5/22/2024,,10,10,20,26LBS,UPS,1Z2Y36Y30396196856,,,,
2/8/2024,9535,"QTY 12 Ball Valves PN 1/2"" 88-TH-0050-XXX",Lesman,6/28/2022,,gina@lesman.com,2/22/2024,UPS,1Z6208880313395818,12,12,12,28LBS,,2/5/2024,Jord,110301,,"CONTACT NKRISHNAN@JORDENERGY.COM.AU
SRAJAN@JORDENERGY.COM.AU
YJZHANG@JORDENERGY.COM.AU",,,2/23/2024,,10,10,10,26LBS,UPS,1Z2Y36Y30397518587,,,,
2/9/2024,9536,NFED-LHV (qty 3). NFFD-LIV (qty 2). NQEB-XAV (qty 1). NFCC-HCV (qty 1).,Callahan Weber Technologies,2/14/2024,,dwirth@sunsrce.com,2/13/2024,UPS,1Z2X99X40162623110,,,,,,8/23/2023,GE,42300116344,,GE Energy Parts. ATLANTA,,,2/19/2024,,26,21,28,524.99LBS,Fedex,6605811833,,,,
12/30/2023,9537,QTY 1 Solenoid Valve Y013AA1V2SS,RMS,,THIS ORDER IS A REFERENCE. ITEM TAKEN FROM STOCK,,,,,,,,,,9/28/2023,GE,42300122213,,GE Energy Parts. ATLANTA,,,1/2/2024,Delivered,,,,,Fedex,774659609150,,,,
12/1/2023,9538,"QTY 4 DOOR LATCH ASSEMBLY CW/ADJ STRIKER, PN CT-1178",RMS,,THIS ORDER IS A REFERENCE. ITEM TAKEN FROM STOCK,,,,,,,,,,12/1/2023,GE,42300133778,,GE Energy Parts. ATLANTA,,,12/5/2024,Delivered,,,,,Fedex,774354878730,,,,
4/2/2024,9539-1,QTY 2 mesh liner PN VY50E-80 (Line 1 and 3),ULBREC,2 - 3 Weeks,This order will replaced order 9360 - 1 item for order (line 1) the other one for RMS Stock,sales@ulbrec.com,5/20/2024,DHL,4217104570,8,6,9,2LBS,,3/8/2023,GE,42300080998,,GE Energy Parts. ATLANTA,,,5/22/2024,,6,6,6,1LB,FedEx,776503962249,,,,
4/2/2024,9539-1,QTY 2 mesh liner PN VY50E-80 (Line 2),ULBREC,2 - 3 Weeks,Item for order 42300154555 ,sales@ulbrec.com,5/20/2024,DHL,4217104570,8,6,9,2LBS,,4/2/2024,GE,42300154555,,GE Energy Parts. ATLANTA,,,5/22/2024,,6,6,6,1LB,FedEx,776503935680,,,,
2/15/2024,9540,,PRM FILTRATION,,Order paid by CC,sales@prmfiltration.com,2/19/2024,FedEx,271018944600,10,10,10,10LBS,,2/9/2024,Jord,110169,,"CONTACT ASUGASEELAN@JORDENERGY.COM.AU(ASHWIN)
SSUBRAMANIAN@JORDENERGY.COM.AU(SATHISH)....- CHINA",,,2/20/2024,,10,10,10,10LBS,UPS,1Z2Y36Y30392809110,,,,
2/18/2024,9541,QTY 6 Manifold Valve PN M4TPVIS-4-GE1-SSA,The Blythe Company,,,patti@theblythecompany.com,2/21/2024,UPS,1ZF26B390309017932,12,12,12,31LBS,,2/12/2024,Jord,109963,,"CONTACT WHEN
READY RROSHAN@JORDENERGY.COM.AU (RITHICK) AND YJZHANG@JORDENERGY.COM.AU WHEN
READY (JIN)",,,2/22/2024,,12,12,12,31LBS,UPS,1Z2Y36Y30398731979,,,,
2/18/2024,9542,QTY 8  Manifold  Valve PN M4TPVIS-4-GE1-SSA,The Blythe Company,,,patti@theblythecompany.com,2/26/2024,UPS,1ZF26B390303015141,12,12,12,31LBS,,2/12/2024,Jord,110237,,"CONTACT WHEN
READY RROSHAN@JORDENERGY.COM.AU (RITHICK) AND YJZHANG@JORDENERGY.COM.AU WHEN
READY (JIN)",,,2/27/2024,,12,12,12,31LBS,UPS,1Z2Y36Y30391120936,,$0.00 ,,
2/18/2024,9542,QTY 10 Manifold  Valve PN M4TLVIS-4-GE1-R3V,The Blythe Company,,,patti@theblythecompany.com,2/26/2024,UPS,1ZF26B390325208151,18,12,12,61LBS,,2/12/2024,Jord,110237,,"CONTACT WHEN
READY RROSHAN@JORDENERGY.COM.AU (RITHICK) AND YJZHANG@JORDENERGY.COM.AU WHEN
READY (JIN)",,,2/27/2024,,18,12,12,61LBS,UPS,1Z2Y36Y30390481727,,$0.00 ,,
2/19/2024,9543,QTY 1 Weatherproof Box PN 5324-0 ,Grainger,1 day,,customersupport@grainger.com,2/27/2024,FedEX,730559497939,11,14,4,1LB,,2/14/2024,Jord,110251,,"CONTACT WHEN READY
SSUBRAMANIAN@JORDENERGY.COM.AU (SATHISH)
ASUGASEELAN@JORDENERGY.COM.AU (ASHWIN)
HHAN@JORDENERGY.COM.AU (HARDY).......",,,3/12/2024,,8,8,8,2LBS,DHL,6964898824,,,,
2/19/2024,9544,QTY 1 Switch Plate PN HBL1795 ,Crescent Electric,3/11/2024,,Ed.Mahoney@cesco.com,3/6/2024,BOX TRUCK,,10,6,6,1LB,,2/14/2024,Jord,110251,,"CONTACT WHEN READY
SSUBRAMANIAN@JORDENERGY.COM.AU (SATHISH)
ASUGASEELAN@JORDENERGY.COM.AU (ASHWIN)
HHAN@JORDENERGY.COM.AU (HARDY).......",,,3/12/2024,,8,8,8,2LBS,DHL,6964898824,,,,
2/19/2024,9544,QTY 1 Switch Plate PN HBL1201I,Crescent Electric,3/11/2024,,Ed.Mahoney@cesco.com,3/6/2024,BOX TRUCK,,10,6,6,1LB,,2/14/2024,Jord,110251,,"CONTACT WHEN READY
SSUBRAMANIAN@JORDENERGY.COM.AU (SATHISH)
ASUGASEELAN@JORDENERGY.COM.AU (ASHWIN)
HHAN@JORDENERGY.COM.AU (HARDY).......",,,3/12/2024,,8,8,8,2LBS,DHL,6964898824,,,,
2/20/2024,9545,QTY 1 Receptacle PN GFNT2-I,Graybar,1 - 2 Weeks,,,2/26/2024,CPU,,5,5,5,1LB,,2/14/2024,Jord,110251,,"CONTACT WHEN READY
SSUBRAMANIAN@JORDENERGY.COM.AU (SATHISH)
ASUGASEELAN@JORDENERGY.COM.AU (ASHWIN)
HHAN@JORDENERGY.COM.AU (HARDY).......",,,3/12/2024,,8,8,8,2LBS,DHL,6964898824,,,,
2/20/2024,9545,QTY 1 Gang Back Box PN 1GM73-GY,Graybar,1 - 2 Weeks,,,3/11/2024,CPU,,5,5,5,1LB,,2/14/2024,Jord,110251,,"CONTACT WHEN READY
SSUBRAMANIAN@JORDENERGY.COM.AU (SATHISH)
ASUGASEELAN@JORDENERGY.COM.AU (ASHWIN)
HHAN@JORDENERGY.COM.AU (HARDY).......",,,3/12/2024,,8,8,8,2LBS,DHL,6964898824,,,,
2/20/2024,9546-1,QTY 8 Phoenix Relays PN PSR-SCF-120UC/URM/2X21,Motion,4/22/2024,,Gloria.Gonzalez@motion.com,4/24/2024,UPS,1Z6135000394121822,7,7,7,1LB,,2/14/2024,Jord,110346,,Contact ECI,,,4/29/2024,Invoiced,6,6,6,2LBS,UPS,1Z2Y36Y30398155020,,$0.00 ,,
4/4/2024,9547,QTY 1 Hydraulic Hose HPU-DJ-130,GEIB,4/19/2024,,Zalas@geibind.com,4/18/2024,UPS,1ZF26B390307156241,12,12,4,4LBS,,2/21/2024,GE,42300147740,,GE Energy Parts. ATLANTA,,,4/29/2024,,12,12,4,4LBS,FedEx,776153801330,,,,
2/22/2024,9548,QTY 2 Strainer Sump PN C-50-2-60,Flowezy,1 - 2 Days,,ncannon@FlowEzyFilters.Com,2/27/2024,UPS,1ZF26B390314836154,14,13,9,5LBS,,2/15/2024,Jord,110342,,Contact ECI - China,,,2/28/2024,,14,13,9,5LBS,UPS,1Z2Y36Y30399254199,,$0.00 ,,
2/22/2024,9549,QTY 1 Solenoid Valve PN CE016C04L00V,RMS,Taken from Stock,,customercare@rittertech.com,,,,,,,,,2/19/2024,GE,42300147214,,GE Energy Parts. ATLANTA,,,2/23/2024,,6,6,6,1LB,FedEx,775292554589,,,,
2/23/2024,9550,Several Sun Valves for Manifold Assembly,Hydradyne,Stock,Order Copy 9550 - Sun Valves Hydradyne - RMS ASSE LIST.pdf,Aleksy@cmafh.com,3/6/2024,UPS,1Z6025520360268812,10,8,10,20LBS,,2/23/2024,RMS,For RMS Stock,,,,,,,,,,,,,,,,
2/23/2024,9551,Several Sun Valves for Manifold Assembly,Callahan Weber Technologies,Stock,Order Copy 9551 - Sun Valves Callahan Weber - RMS ASSE LIST.pdf,dwirth@sunsrce.com,3/25/2024,UPS,multiple tracking#'s,,,,,,2/23/2024,RMS,For RMS Stock,,,,,,,,,,,,,,,,
2/23/2024,9552,QTY Sun Valve PN NFCC-HCV,Lynch Fluid Controls,2/27/2024,,pnenni@lynch-usa.com,2/28/2024,UPS,1Z27YE430346390441,5,3,3,1LB,,2/23/2024,RMS,For RMS Stock,,,,,,,,,,,,,,,,
2/26/2024,9553,QTY 1 PARKER VALVE PN D1VW020BVYCF4,Forberg,4/20/2024,Orde Copy 9553 - Manifold Valve - Forberg - RMS ASSE LIST.pdf,danielle.eddington@forbergsmith.com,3/6/2024,UPS,1Z4671000303266076,19,7,7,5LBS,,2/26/2024,RMS,For RMS Stock,,,,,,,,,,,,,,,,
2/28/2024,9554,QTY 1 Packing Set P/N RPACKX00022,Novaspect,2 - 3 Days,,KMendoza@novaspect.com,3/6/2024,UPS,1ZF26B390302125579,11,8,2,1LB,,2/28/2024,GE,42300148961,,GE Energy Parts. ATLANTA,,,3/7/2024,,6,6,6,1LB,FedEx,775438754332,,,,
3/2/2024,9555,QTY 2 Tank Magnet PN SLX-21-SS,Motion,10 days,,Gloria.Gonzalez@motion.com,3/25/2024,UPS,1Z5846360340489303,27,6,3,4LBS,,10/25/2023,Jord,109812,,"Contact ECI PLEASE CONTACT MICHAEL@ECILAX.COM & SCOTT@ECILAX.COM
& APRAKASH@JORDENERGY.COM.AU",,,3/29/2024,,26,6,3,7LBS,UPS,1Z2Y36Y30397972416,,$0.00 ,,
3/2/2024,9556,QTY 1 Packing Set P/N RPACKX00022,Novaspect,2 - 3 Days,,KMendoza@novaspect.com,4/9/2024,FedEx,273051333930,8,12,1,1LB,,3/2/2024,RMS,For RMS Stock,,,,,,,,,,,,,,,,
3/2/2024,9557,QTY 1 OIL SEAL PN 01299092,Motion,Stock,,Gloria.Gonzalez@motion.com,3/6/2024,UPS,1Z6415210306946902,9,9,5,1LB,,2/28/2024,GE,42300148961,,GE Energy Parts. ATLANTA,,,3/7/2024,,6,6,6,1LB,FedEx,775438754332,,,,
6/3/2024,9558,QTY Filters,Pall,15-Nov-24,QTY 4,,11/18/2024,FedEx Frgt,9740990055,,,,325LBS,,3/5/2024,GE,42300149937,,GE Energy Parts. ATLANTA,,,4/24/2024,,24,40,29,525LBS,FedEx LTL,5770738153,,,,
2/23/2024,9559,QTY 10 Extension roads for tank magnets,RIZHAO RUIFING,,2 pcs shipped to Taiwan - rest to RMS warehouse,,,,,,,,,,2/23/2024,RMS,For RMS Stock,,,,,,,,,,,,,,,,
3/12/2024,9560,"MUFF COUPLING P/N 0020174301KPS x 1
AND SCREWS P/N B124_516X58DPS x 4",RMS,Taken from Stock,,,,,,,,,,,3/12/2024,ATC Turbine,GT_PO-0045577,,"Elmwood Court One. Sharon Hill, PA 19079",,,3/29/2024,,9,9,5,8LBS,UPS,1ZF26B390325088184,,,,
3/14/2023,9561,QTY 2 Air Bleed Valve NQEB-XAV / reducing valve PBHB-LWV,Hydradyne,stock / 6-6-2024,"MOVE 2 PCS OF PN PBHB-LWV FOR RMS STOCK AND REPLACE WITH THE 2 PCS OF PN PBHB-LAV OF PO 9610 FOR THIS ORDER 
DO NOT SHIP TO CUSTOMER - Need to confirm payment received to ship",Aleksy@cmafh.com,"03/18/2024 (2pcs NQEB-XAV).
05/20/2024 (2 pcs PBHB-LWV)",UPS,1Z6025520360282672/ 1Z6025520360353078,6,6,5,2LBS,,3/14/2024,King Integrity Development,SHCJ240122,,"Need to confirm payment received to ship.
China - Contact kingintegrity@163.com",,,6/14/2024,,,,,,,,,,,
3/15/2023,9562,"QTY 4 Impeller Nut, P/N 301-45-040",Buffalo,3/28/2024,,nschultz@buffalopumps.com,3/28/2024,UPS,1ZF26B390300081987,11,8,3,1LB,,3/11/2024,GE,42300151087,,GE Energy Parts. ATLANTA,,,4/19/2024,,9,7,1,1LB,FedEx,776031952553,,,,
3/22/2024,9563,QTY 2 RDFA-LAV,Hydradyne,3/25/2024,,Aleksy@cmafh.com,3/26/2024,UPS,1Z6025520360291859,6,6,5,2LBS,,3/5/2024,GE,42300149937,,GE Energy Parts. ATLANTA,,,4/24/2024,,24,40,29,525LBS,FedEx LTL,5770738153,,,,
3/18/2024,9564,QTY 2 MECHANICAL SEAL PS 235V,Motion,,1 pcs for GE Order and 1 pcs for RMS Stock,Gloria.Gonzalez@motion.com,3/22/2024,UPS,1Z8176V90300699823,6,6,6,1LB,,3/12/2024,GE,42300151165,,GE Energy Parts. ATLANTA,,,3/26/2024,,6,6,6,1LB,FedEx,775677879570,,,,
3/19/2024,9565,QTY 3 Manifold PN X21511-1,M & W Manufacturing,schedule to ship on 5/17/24 from Gatto,For RMS Stock,charleym@mandwhyd.com,4/23/2024 --4/30/2024,UPS/CPU,1Z5330840365292524--,,,,,,3/19/2024,RMS,For RMS Stock,,,,,,,,,,,UPS,1Z5330840365292524,,$13.38 ,,
3/21/2024,9566,"QTY 6 Inlet Air Coalescing Element, p/n PCNR05023K01B",Service Process Equipment,4/30/2024,,msellers@serviceprocess.net,4/27/2024,UPS,1ze01w700373991841,7,7,9,1LB,,2/22/2023,GE,42300078250,,GE Energy Parts. ATLANTA,,,5/1/2024,,6,6,6,1LB,FedEx,776189017636,,,,
3/22/2024,9567,42300153012,Novaspect,3/28/2024,,KVorwerk@novaspect.com,4/24/2024,FedEx,273701889735,10,10,10,2LBS,,3/22/2024,GE,42300153012,,GE Energy Parts. ATLANTA,,,4/29/2024,,9,7,1,1LB,FedEx,776153746755,,,,
3/22/2024,9567,42300150684,Novaspect,3/28/2024,,KVorwerk@novaspect.com,4/24/2024,FedEx,273701889735,10,10,10,2LBS,,3/8/2024,GE,42300150684,,GE Energy Parts. ATLANTA,,,4/29/2024,,20,20,6,8LBS ,FedEx,776153775590,,,,
3/25/2024,9568,QTY 7 QUICK EXHAUST VALVE PN PH-OR25B,Ritter,Stock,,customercare@rittertech.com,4/24/2024,CPU,,9,9,9,4LBS,,3/25/2024,GE,42300153290,,GE Energy Parts. ATLANTA,,,4/29/2024,,8,8,8,3LBS,FedEx,776153708250,,,,
3/26/2024,9569,QTY 6 Crosby PN 102725 Tyco P/N 568370,Novaspect,4/9/2024,,KVorwerk@novaspect.com,4/12/2024,CPU,,10,8,5,2LBS,,3/23/2024,GE,42300148156,,GE Energy Parts. ATLANTA,,,4/12/2024,,9,7,1,1LB,FedEx,775935547215,,,,
3/27/2024,9570,"QTY 3 Impeller Washer, P/N 11012-66-39",Buffalo,4/15/2024,,nschultz@buffalopumps.com,4/5/2024,UPS,1ZF26B390338053017,11,8,1,1LB,,3/18/2024,GE,42300152053,,GE Energy Parts. ATLANTA,,,4/29/2024,,9,7,1,1LB,FedEx,776153665276,,,,
3/27/2024,9571,Several Items,Motion,Stock,,Gloria.Gonzalez@motion.com,4/1/2024,UPS,1Z3336270306464833,15,10,2,1LB,,3/19/2024,GE,42300152127,,GE Energy Parts. ATLANTA,,,4/19/2024,,12,12,6,4LBS,FedEx,776031633376,,,,
3/27/2024,9572,Several Items,Buffalo,4/24/2024,,nschultz@buffalopumps.com,4/3/2024,UPS,1ZF26B390333310597,10,10,7,11LBS,,3/8/2024,GE,42300150771,,GE Energy Parts. ATLANTA,,,4/19/2024,,10,10,8,26LBS,FedEx,776031872026,,,,
3/27/2024,9573,Several Items,Motion,Stock,,Gloria.Gonzalez@motion.com,3/28/2024--4/1/2024,UPS,1Z6415210307185250/1ZAC21480301074242,9,9,9,5LBS,,3/8/2024,GE,42300150771,,GE Energy Parts. ATLANTA,,,4/19/2024,,10,10,8,26LBS,FedEx,776031872026,,,,
3/27/2024,9574,Several Items,Buffalo,4/15/2024,,nschultz@buffalopumps.com,4/9/2024,UPS,1ZF26B390335021020,20,20,5,8LBS,,3/8/2024,GE,42300150684,,GE Energy Parts. ATLANTA,,,4/29/2024,,20,20,6,8LBS ,FedEx,776153775590,,,,
3/27/2024,9575,Several Items,Buffalo,4/15/2024,,nschultz@buffalopumps.com,4/8/2024,UPS,1ZF26B390313838207,12,12,5,4LBS,,3/19/2024,GE,42300152127,,GE Energy Parts. ATLANTA,,,4/19/2024,,12,12,6,4LBS,FedEx,776031633376,,,,
